Date,cpi,ppi,fdi,total_index,agricultural_index,mineral_index,fuel_electric_index,gdp,export %,import %,pmi,LPI Index,New Financial Credit,Consumer Confidence Index,Total Retail Sales,Foreign Reserve,Money Supply,issuance of inv prod,insurance income,domestic phone sales,Consumption index (national),Consumption index (city),Consumption index (rural),Inv in fixed asset,Total Export,Total Import,Fiscal Revenue,Forex Loan,Deposit in currency,net currency inj,large bank reserve ratio,small bank reserve ratio
2006-05-01,1.2,1.9,,101.5,100.8,108.87,110.68,,23.7,15.3,58.1,,,,,,,69.0,18452546.15,,,,,,,,,,,182.0,,
2006-06-01,1.4,2.4,,102.3,102.7,110.6,110.1,,25.1,21.7,54.8,,,,,,,132.0,22549389.69,,,,,,,,,,,0.0,,
2006-07-01,1.5,3.5,,102.5,103.0,112.1,110.4,,23.3,18.9,54.1,,,,,,,121.0,25034024.01,,,,,,,,,,,140.0,,
2006-08-01,1.0,3.6,,102.9,104.2,112.8,110.3,,22.5,19.7,52.4,,,,,,,145.0,27784916.2,,,,,,,,,,,-142.2,,
2006-09-01,1.3,3.4,,103.6,105.6,113.6,109.8,,32.7,24.6,53.1,,,,,,,151.0,31130147.91,,,,,,,,,,,-380.0,,
2006-10-01,1.5,3.4,,103.8,106.3,116.0,107.0,,30.5,22.0,57.0,,,,,,,121.0,33801181.65,,,,,,,,,,,-1000.0,,
2006-11-01,1.4,2.9,,104.1,107.2,117.4,105.4,,29.5,14.7,54.7,,,,,,,141.0,37315157.07,,,,,,,,,,,690.0,,
2006-12-01,1.9,2.8,,105.1,110.3,115.2,106.1,,32.7,18.3,55.3,,,,,,,156.0,40610901.22,,,,,,,,,,,-210.5,,
2007-01-01,2.8,3.0,,104.6,107.8,114.6,107.0,,24.7,13.5,54.8,,,112.4,,,,322.0,4569304.27,,,,,,,,,,,-5510.0,9.5,9.5
2007-02-01,2.2,3.3,,104.5,108.6,111.1,104.2,,33.0,27.5,55.1,,,111.8,,,,117.0,8504549.81,,,,,,,,,,,3860.0,10.0,10.0
2007-03-01,2.7,2.6,,104.2,107.8,110.9,103.2,,51.8,13.1,53.1,,,111.0,,,,216.0,14289736.75,,,,,,,,,,,-5610.0,,
2007-04-01,3.3,2.6,,104.6,109.1,112.6,103.3,,7.1,14.5,56.1,,,112.3,,,,269.0,17927466.84,,,,,,,,,,,-1070.0,10.5,10.5
2007-05-01,3.0,2.9,,105.1,111.3,115.3,103.3,,26.9,21.3,58.6,,,112.8,,,,205.0,21430486.46,,,,,,,,,,,140.0,11.0,11.0
2007-06-01,3.4,2.8,,105.4,112.7,115.4,102.4,,28.7,19.1,55.7,,,113.7,,,,263.0,25892839.18,,,,,,,,,,,880.0,11.5,11.5
2007-07-01,4.4,2.5,,106.1,115.1,115.0,100.8,,27.2,14.2,54.5,,,112.9,,,,267.0,28898995.48,,,,,,,,,,,-630.0,,
2007-08-01,5.6,2.4,,106.5,115.7,115.0,101.0,,34.3,26.8,53.3,,,113.5,,,,253.0,32558604.71,,,,,,,,,,,-1407.8,12.0,12.0
2007-09-01,6.5,2.6,,106.2,113.6,115.4,101.0,,22.8,20.1,54.0,,,113.1,,,,296.0,37055748.3,,,,,,,,,,,3370.0,12.5,12.5
2007-10-01,6.2,2.7,,106.5,113.1,115.9,103.3,,22.7,16.1,56.1,,,112.6,,,,267.0,40673303.34,,,,,,,,,,,1370.0,13.0,13.0
2007-11-01,6.5,3.2,,107.4,114.1,116.5,109.0,,22.3,25.5,53.2,,,112.0,,,,359.0,45207375.35,,,,,,,,,,,165.0,13.5,13.5
2007-12-01,6.9,4.6,,107.6,111.3,117.3,111.9,,22.7,25.3,55.4,,,113.1,,,,363.0,49489681.18,,,,,,,,,,,-594.5,14.5,14.5
2008-01-01,6.5,5.4,11200250.0,108.36,112.79,119.58,112.46,,21.7,25.5,55.3,,8058.0,111.6,9077.3,15898.104,417846.17,431.0,7628386.36,,107.0781,106.7773,107.7209,,109640030.0,90174447.0,7396.64,,,5070.0,15.0,15.0
2008-02-01,7.1,6.1,6928190.0,109.2,113.37,120.73,114.14,,26.7,27.6,53.0,,2434.0,110.0,8354.7,16471.3371,421037.84,334.0,14412523.75,,108.7443,108.4973,109.2344,0,87367796.0,78813133.0,4158.75,217.02,13370.18,-5410.0,,
2008-03-01,8.7,6.6,9285600.0,110.2,114.1,123.53,115.34,,6.3,35.1,53.4,,2834.0,110.3,8123.2,16821.77,423054.53,497.0,23073763.35,,108.3097,107.9699,109.033,10195.6477,108962891.0,95556142.0,4415.95,103.62,10737.68,-7130.0,15.5,15.5
2008-04-01,8.3,8.0,7602890.0,110.3,113.86,122.12,117.18,,30.4,24.6,58.4,,4690.0,109.7,8142.0,17566.5514,429313.72,406.0,28964567.97,,108.4829,108.1094,109.2737,10093.1351,118706686.0,102029338.0,6824.88,21.35,7180.81,-230.0,16.0,16.0
2008-05-01,8.5,8.1,7760960.0,109.63,111.56,117.55,116.91,,22.1,26.4,59.2,,3185.0,110.0,8703.5,17969.6074,436221.6,462.0,34988514.24,,107.7163,107.3331,108.5481,11854.1327,120496491.0,100286062.0,6268.15,30.04,8763.12,840.0,16.5,16.5
2008-06-01,7.7,8.2,9610050.0,109.5,109.1,116.7,121.2,,28.3,40.0,53.3,,3324.0,109.8,8642.0,18088.2805,443141.02,594.0,42572344.52,,107.0844,106.7644,107.8024,18171.7796,121179554.0,100179936.0,5743.82,14.02,7686.63,3100.0,17.0,17.0
2008-06-01,7.7,8.2,9610050.0,109.5,109.1,116.7,121.2,,28.3,40.0,53.3,,3324.0,109.8,8642.0,18088.2805,443141.02,594.0,42572344.52,,107.0844,106.7644,107.8024,18171.7796,121179554.0,100179936.0,5743.82,14.02,7686.63,3100.0,17.0,17.5
2008-06-01,7.7,8.2,9610050.0,109.5,109.1,116.7,121.2,,28.3,40.0,53.3,,3324.0,109.8,8642.0,18088.2805,443141.02,594.0,42572344.52,,107.0844,106.7644,107.8024,18171.7796,121179554.0,100179936.0,5743.82,14.02,7686.63,3100.0,17.5,17.0
2008-06-01,7.7,8.2,9610050.0,109.5,109.1,116.7,121.2,,28.3,40.0,53.3,,3324.0,109.8,8642.0,18088.2805,443141.02,594.0,42572344.52,,107.0844,106.7644,107.8024,18171.7796,121179554.0,100179936.0,5743.82,14.02,7686.63,3100.0,17.5,17.5
2008-07-01,7.1,8.8,8336010.0,109.4,106.8,118.3,126.7,,17.3,31.0,52.0,,3818.0,110.2,8628.8,18451.6418,446362.17,660.0,48189232.13,,106.302,106.067,106.8498,13724.0976,136675046.0,111397147.0,6073.52,-6.35,5028.96,-895.0,,
2008-08-01,6.3,10.0,7008160.0,108.15,104.71,115.5,126.78,,26.9,33.7,48.4,,2715.0,109.3,8767.7,18841.5279,448846.68,762.0,54071266.66,,104.9001,104.6866,105.417,12759.6052,134872675.0,106178493.0,3847.93,-29.7,6831.03,-1075.0,,
2008-09-01,4.9,10.1,6641870.0,107.0,104.95,112.31,124.18,,21.5,23.1,48.4,,3745.0,108.9,9446.5,19055.8452,452898.71,717.0,60060010.44,,104.6425,104.377,105.2772,14951.0268,136432088.0,107065274.0,4217.22,-25.1,4729.13,-3720.0,17.5,16.5
2008-10-01,4.6,9.1,6721860.0,104.03,104.26,103.8,119.13,,21.7,21.3,51.2,,1819.0,107.9,10082.7,18796.88,453133.32,693.0,64538969.79,,103.9744,103.7125,104.576,13318.3607,128327028.0,93087686.0,5328.95,-108.65,3645.74,-1210.0,17.0,16.0
2008-11-01,4.0,6.6,5321810.0,99.59,100.19,93.62,107.79,,19.3,15.6,44.6,,4775.0,105.2,9790.8,18847.17,458644.66,541.0,68859482.2,,102.434,102.2235,102.934,14425.0656,114987285.0,74897470.0,3792.4,-99.92,3810.09,1355.0,,
2008-12-01,2.4,2.0,5977790.0,96.92,98.55,89.19,96.2,,-2.2,-17.9,38.8,,7645.0,101.8,10728.5,19460.3,475166.6,456.0,73375667.35,,101.1999,100.9254,101.8568,20553.106,111157222.0,72177186.0,3248.69,-46.93,4171.77,-730.0,16.0,14.0
2008-12-01,2.4,2.0,5977790.0,96.92,98.55,89.19,96.2,,-2.2,-17.9,38.8,,7645.0,101.8,10728.5,19460.3,475166.6,456.0,73375667.35,,101.1999,100.9254,101.8568,20553.106,111157222.0,72177186.0,3248.69,-46.93,4171.77,-730.0,16.0,13.5
2008-12-01,2.4,2.0,5977790.0,96.92,98.55,89.19,96.2,,-2.2,-17.9,38.8,,7645.0,101.8,10728.5,19460.3,475166.6,456.0,73375667.35,,101.1999,100.9254,101.8568,20553.106,111157222.0,72177186.0,3248.69,-46.93,4171.77,-730.0,15.5,14.0
2008-12-01,2.4,2.0,5977790.0,96.92,98.55,89.19,96.2,,-2.2,-17.9,38.8,,7645.0,101.8,10728.5,19460.3,475166.6,456.0,73375667.35,,101.1999,100.9254,101.8568,20553.106,111157222.0,72177186.0,3248.69,-46.93,4171.77,-730.0,15.5,13.5
2009-01-01,1.2,-1.1,7540950.0,95.83,97.98,88.04,90.58,,-2.9,-21.3,41.2,,16177.0,101.254904,10756.6,19134.56,496135.3078,258.0,8391730.34,,100.95,100.72,101.5,,90453600.0,51344264.0,6131.61,,,3810.0,,
2009-02-01,1.0,-3.4,5832890.0,94.0,94.4,87.4,88.3,,-17.6,-43.1,45.3,,10715.0,100.974872,9323.8,19120.66,506708.07,377.0,16395692.39,,98.4418,98.1418,99.1614,0,64894649.0,60053658.0,4108.23,-42.09678482,16851.85036253,-3475.0,,
2009-03-01,-1.6,-4.5,8403480.0,93.4,96.51,84.96,88.14,,-25.7,-24.1,49.0,,18920.0,100.321464,9317.6,19537.41,530626.7118,564.0,25255033.63,,98.8286,98.6166,99.3353,13286.2052,90290547.0,71729112.0,4402.21,42.61991258,24738.56553566,760.0,,
2009-04-01,-1.2,-6.0,5891510.0,92.9,96.1,86.0,87.4,,-17.2,-25.1,52.4,,5918.0,100.508152,9343.2,20088.8,540481.2137,554.0,31141696.82,,98.5,98.2743,99.0303,13520.309,91934722.0,78799687.0,5897.15,75.54467045,10567.98552141,-390.0,,
2009-05-01,-1.5,-6.6,6379000.0,92.4,95.8,85.1,87.1,,-22.8,-23.0,53.5,,6669.0,101.16156,10028.4,20894.91,548263.51,489.0,36888469.74,,98.6287,98.4734,98.9988,16438.0207,88757886.0,75369356.0,6569.47,154.46810185,13498.57329078,1020.0,,
2009-06-01,-1.4,-7.2,8960750.0,92.0,95.5,85.2,85.7,,-26.5,-25.2,53.1,,15304.0,100.974872,9941.6,21316.06,568916.2,625.0,44086208.71,,98.3,98.2192,98.5769,24578.0291,95512025.0,87176091.0,6867.47,372.02957701,20131.10825784,1030.0,,
2009-07-01,-1.7,-7.8,5359420.0,92.0,96.3,84.2,85.0,,-21.3,-13.2,53.2,,3691.0,102.118336,9936.5,21746.1791,573102.8517,636.0,49533862.43,,98.1943,98.1006,98.4173,17833.6567,105420240.0,94790583.0,6695.91,110.097104,4057.92902665,1505.0,,
2009-08-01,-1.8,-8.2,7499000.0,92.9,97.3,87.3,83.9,,-23.0,-14.9,53.3,,4104.0,102.701736,10115.6,22108.2688,576698.9535,670.0,55296053.8,,98.7957,98.7177,98.9817,17052.7826,103707009.0,87995234.0,5237.47,192.41127766,3479.92746934,120.0,,
2009-09-01,-1.2,-7.9,7899000.0,94.07,99.97,89.19,87.15,,-23.4,-17.0,54.0,,5167.0,102.79508,10912.8,22725.9517,585405.3373,966.0,62488701.57,,99.2117,99.1144,99.4441,20191.8038,115937994.0,103005871.0,5609.35,176.93080024,9821.91200247,2790.0,,
2009-10-01,-0.8,-7.0,7105000.0,96.3,100.3,97.4,90.1,,-15.3,-3.5,54.3,,2530.0,103.215128,11717.6,23282.72,586643.2887,770.0,68222660.81,,99.47,99.3047,99.8719,17533.1649,110762383.0,86774749.0,6844.93,162.89529077,2921.45779127,-1560.0,,
2009-11-01,-0.5,-5.8,7023000.0,100.39,104.7,108.12,97.49,,-13.9,-6.4,55.2,,2948.0,103.331808,11339.0,23887.8847,594604.7213,1179.0,74639543.1,,100.56,100.4,100.93,17924.448,113653429.0,94560431.0,5029.3,165.61199903,5922.94305853,-2990.0,,
2009-12-01,0.6,-2.1,12139000.0,103.36,107.66,113.83,109.44,,-1.2,26.7,55.2,,3800.0,103.9245424,12610.0,23991.5229,610224.5231,1018.0,81441829.89,,101.8559,101.7677,102.0669,25504.412,130723881.0,112293713.0,5083.9,32.86986598,5295.0287239,-490.0,,
2010-01-01,1.9,1.7,8129000.0,104.48,107.92,114.92,115.83,,17.7,55.9,56.6,,13934.0,104.7,12718.1,24152.21,625609.29,720.0,11896244.21,,101.53,101.4149,101.8067,,109475299.0,95307047.0,8658.66,,,-650.0,16.0,14.0
2010-02-01,1.5,4.3,5895000.0,105.7,111.11,113.44,119.16,,21.0,85.5,55.8,,6999.0,104.2,12334.2,24245.9067,636072.2646,625.0,23165704.01,,102.6953,102.6099,102.8942,0,94522714.0,86910333.0,4944.97,97.26039587,9729.21551054,5220.0,16.5,14.5
2010-03-01,2.7,5.4,9419000.0,105.6,108.3,115.4,117.7,,45.6,44.7,52.0,,5107.0,107.9,11321.7,24470.84,649947.4643,1038.0,35132268.12,,102.3707,102.2585,102.6351,16778.6579,112111793.0,119348092.0,6023.44,97.04042242,15759.54051523,-7030.0,,
2010-04-01,2.4,5.9,7346110.0,106.6,110.0,115.6,117.6,,24.2,66.0,55.1,,7740.0,106.6,11510.4,24905.12,656561.217,1132.0,42694603.0,,102.8136,102.7141,103.0466,16950.0645,119920666.0,118239462.0,7925.66,51.7512028,11209.8481449,-4370.0,,
2010-05-01,2.8,6.8,8132030.0,107.1,112.0,116.8,117.3,,30.4,49.7,55.7,,6493.0,108.0,12455.0617,24395.0578,663351.37,1143.0,50310066.55,,103.0613,102.914,103.3085,20615.548,131760663.0,112227749.0,7917.66,-13.92005063,10716.09879478,1230.0,17.0,15.0
2010-06-01,3.1,7.1,12508630.0,106.6,112.5,115.5,113.5,,48.5,48.3,53.9,,6027.0,108.5,12329.9,24542.748,673921.7239,1300.0,59110611.37,,102.9499,102.8372,103.2174,30689.0823,137395578.0,117373726.0,7879.4,-3.13783514,13959.37910038,5170.0,,
2010-07-01,2.9,6.4,6923860.0,105.9,112.6,113.5,108.4,,43.9,34.1,52.1,,5327.0,107.8,12252.8,25388.94,674051.4789,1237.0,66221248.02,,103.3042,103.2234,103.4942,21818.8682,145519322.0,116788934.0,7783.18,-56.27059582,1685.76180484,90.0,,
2010-08-01,3.3,4.8,7602370.0,106.0,113.9,111.2,108.0,,38.0,22.7,51.2,,5446.0,107.3,12569.8,25478.38,687506.9183,1254.0,73807419.12,,103.4794,103.3894,103.6951,21131.497,139302230.0,119266152.0,5619.35,31.6137,11234.1923,-2100.0,,
2010-09-01,3.5,4.3,8383830.0,106.1,112.0,111.4,106.4,,34.3,35.2,51.7,,6004.0,104.1019,13536.5,26483.03,696471.5,1302.0,82625742.51,,103.6056,103.5003,103.8626,24871.8305,144985285.0,128110304.0,6287.19,134.2689,14964.0888,-220.0,,
2010-10-01,3.6,4.3,7663170.0,107.8,115.6,110.8,107.3,,25.1,24.1,53.8,,5877.0,103.7519,14284.8,27608.99,699776.7409,1045.0,90400934.15,,104.3655,104.2448,104.6596,21686.5294,135978419.0,108832701.0,7860.31,58.8534,1968.2901,830.0,,
2010-11-01,4.4,5.0,9704000.0,108.6,117.9,112.8,107.4,,22.9,25.3,54.7,,5689.0,102.8884,13910.9,27678.09,710339.025,1318.0,97882419.26,,105.1192,104.9196,105.6095,23141.7207,153325762.0,130435945.0,5840.69,84.6324,5888.3704,1075.0,17.5,15.5
2010-11-01,4.4,5.0,9704000.0,108.6,117.9,112.8,107.4,,22.9,25.3,54.7,,5689.0,102.8884,13910.9,27678.09,710339.025,1318.0,97882419.26,,105.1192,104.9196,105.6095,23141.7207,153325762.0,130435945.0,5840.69,84.6324,5888.3704,1075.0,17.5,16.0
2010-11-01,4.4,5.0,9704000.0,108.6,117.9,112.8,107.4,,22.9,25.3,54.7,,5689.0,102.8884,13910.9,27678.09,710339.025,1318.0,97882419.26,,105.1192,104.9196,105.6095,23141.7207,153325762.0,130435945.0,5840.69,84.6324,5888.3704,1075.0,18.0,15.5
2010-11-01,4.4,5.0,9704000.0,108.6,117.9,112.8,107.4,,22.9,25.3,54.7,,5689.0,102.8884,13910.9,27678.09,710339.025,1318.0,97882419.26,,105.1192,104.9196,105.6095,23141.7207,153325762.0,130435945.0,5840.69,84.6324,5888.3704,1075.0,18.0,16.0
2010-12-01,5.1,6.1,14028240.0,107.9,115.1,114.5,105.6,,34.9,37.7,55.2,,4807.0,100.4,15329.5,28473.38,725851.79,1576.0,105008832.08,,104.5859,104.3887,105.0711,30717.1047,154148895.0,141068833.0,6339.49,164.0054,9101.3791,2030.0,18.5,16.5
2011-01-01,4.6,5.9,10027550.0,108.0,118.2,112.7,106.2,9.8,17.9,25.6,53.9,,10263.0,99.9,15249.0,29316.74,733884.8297,1707.0,12239004.44,,104.9121,104.8075,105.2294,,150734151.0,144273210.0,11497.38,,,4540.0,19.0,16.5
2011-02-01,4.9,6.6,7795390.0,108.7,119.5,115.0,106.5,,37.6,51.6,52.9,,5377.0,99.6214,13769.1,29913.86,736130.8633,1385.0,23464237.91,,104.9443,104.7538,105.5151,0,96736124.0,104042224.0,6997.01,52.7446,13390.7497,3410.0,19.5,17.0
2011-03-01,4.9,7.2,12516620.0,109.3,120.2,114.5,108.3,,2.3,19.9,52.2,,6794.0,107.5994,13588.0,30446.74,758130.88,2074.0,34415065.94,,105.383,105.2248,105.8572,22020.7489,152199071.0,152060308.0,7631.35,87.1374,27323.9732,-2710.0,20.0,18.0
2011-04-01,5.4,7.3,8463930.0,108.5,116.8,112.3,109.1,9.7,35.8,27.3,53.4,,7430.0,106.6,13649.0,31458.43,757384.5619,1768.0,41125141.15,,105.3442,105.1774,105.8453,23251.3172,155684084.0,144263081.0,10082.06,75.3897,3361.0625,2960.0,20.5,18.5
2011-05-01,5.3,6.8,9224510.0,108.8,115.1949,110.8471,109.6294,,29.8,21.8,52.9,,5516.0,105.8,14696.8,31659.97,763409.2151,1962.0,47873861.97,,105.5146,105.3458,106.0216,27538.2876,157157191.0,144110223.0,10612.26,129.6205,11114.67692508,2060.0,21.0,19.0
2011-06-01,5.5,6.8,12862810.0,109.5,117.8,112.6,110.9,,19.3,28.4,52.0,,6339.0,108.1,14565.1,31974.9082,780820.85,2227.0,56122836.66,,106.3553,106.1535,106.9611,34312.1662,161980774.0,139708198.0,10055.76,37.8438,20180.79777492,4160.0,21.5,19.5
2011-07-01,6.4,7.1,8296190.0,109.7,116.8,113.4,111.8,9.5,17.9,19.3,50.9,,4916.0,105.6,14408.0,32452.83,772923.65,2156.0,62330336.26,,106.4508,106.2412,107.0641,27853.1757,175128036.0,143644427.0,9864.1,1.3286,-7334.852,-110.0,,
2011-08-01,6.5,7.5,8447000.0,108.9,113.5,114.8,111.9,,20.4,22.9,50.7,,5484.0,105.0,14705.0,32624.99,780852.3021,2164.0,68808992.48,,106.1514,105.9423,106.6587,28187.7602,173315697.0,155556739.0,7546.37,58.6208,7462.8104,1670.0,,
2011-09-01,6.2,7.3,9044570.0,108.4,114.5,114.6,111.7,,24.4,30.2,50.9,,4693.0,103.37,15865.1,32016.83,787406.2038,2292.0,76496663.74,,106.0671,105.9049,106.5528,31666.3758,169673012.0,155159080.0,7377.05,160.566,7192.251,2360.0,,
2011-10-01,6.1,6.5,8333580.0,105.8685,110.9689,110.2183,110.3239,9.1,17.0,20.9,51.2,,5868.0,100.47,16546.4,32737.96,816829.2489,2291.0,82864674.25,,105.4954,105.3705,105.8692,29091.0947,157490772.0,140457698.0,9188.34,65.339,-1855.934,890.0,,
2011-11-01,5.5,5.0,8756850.0,103.2,104.3,104.6,108.5,,15.7,28.7,50.4,,5629.0,97.03,16128.9,32209.07,825493.9445,2331.0,89368315.79,,104.2246,104.1857,104.3409,28087.0339,174464123.0,159935995.0,6457.32,7.6858,3557.1972,1580.0,,
2011-12-01,4.2,2.7,12242000.0,102.2743,104.7056,100.7426,108.9498,,13.8,22.1,49.0,,6406.0,100.46,17739.7,31811.48,851590.9,1982.0,95600039.46,,104.0704,104.0573,104.1098,32480.7296,174717651.0,158196889.0,6431,75.5625,14653.2615,-1740.0,21.0,19.0
2012-01-01,4.1,1.7,9997000.0,101.3,103.5,99.8,107.0,8.9,13.3,11.8,50.3,,7381.0,103.92,,32536.31,855898.89,1880.0,13795971.67,2400.6,104.5485,104.5378,104.5808,,149939113.0,122661227.0,12912.58,,,3090.0,,
2012-02-01,4.5,0.7,7725590.0,100.6,101.0,99.0,106.5,,-0.6,-15.3,50.5,,7107.0,105.016,,33096.57,867171.42,2376.0,24295099.38,2998.9,103.1613,103.161,103.163,0,114470693.0,145954014.0,8005.7,83.5064,17658.6057,-2430.0,20.5,18.5
2012-03-01,3.2,0.0,11756950.0,100.3,101.3,98.3,106.4,,18.3,39.6,51.0,,10114.42,100.044,15650.2,33049.71,895565.5,2593.0,34799439.88,3958.6,103.5856,103.5879,103.5791,26676.5725,165658100.0,160310799.0,9057.97,150.5464,31109.4467,-720.0,,
2012-04-01,3.6,-0.3,8401420.0,99.9,101.3,97.8,105.4,8.1,8.8,5.3,53.1,,6817.79,103.0,15603.1,32989.13,889604.04,2310.0,41069818.91,3528.7,103.3653,103.3778,103.3278,27726.2027,163251712.0,144824524.0,10774,15.2163,-3286.1772,2530.0,,
2012-05-01,3.4,-0.7,9229040.0,98.9,100.8,97.1,102.9,,4.8,0.3,53.3,,7932.32,104.179,16714.8,32061.09,900048.77,2587.0,48040298.25,3586.8,103.0008,103.0341,102.9015,33332.6105,181140762.0,162441440.0,12004.77,47.8823,13262.5062,-440.0,20.0,18.0
2012-06-01,3.0,-1.4,11979000.0,97.5,96.9,95.2,100.3,,15.3,12.7,50.4,,9198.17,99.3,16584.9,32400.05,924991.2,2586.0,57285289.55,3017.7,102.1504,102.2014,101.9985,41785.8491,180204470.0,148482365.0,11040.25,164.6543,30268.4968,2940.0,,
2012-07-01,2.2,-2.1,7580000.0,96.3,95.5,94.3,97.6,7.6,11.1,6.3,50.2,,5401.21,98.2,16314.9,32399.52,919072.4019,2819.0,63457511.55,3875.0,101.8,101.879,101.4815,33601.72,176940032.0,151793278.0,10671.73,11.0176,-4516.1046,840.0,,
2012-08-01,1.8,-2.9,8325000.0,96.1043,98.2368,91.9786,97.1779,,1.0,4.7,50.1,,7039.45,99.4094,16658.9,32729.01,924894.5865,3191.0,70600947.91,4091.6,102.0,102.1284,101.7968,33646.2919,177973297.0,151312746.0,7863,117.2399,5264.3741,3440.0,,
2012-09-01,2.0,-3.5,8429000.0,96.2,96.9,90.4,98.5,,21.8,-2.6,49.2,,6226.23,100.843,18227.0,32850.95,943688.7534,3098.0,79259895.96,5202.5,101.9,101.9937,101.6714,38974.9281,186349509.0,158680480.0,8258.37,278.2333,16447.1443,3860.0,,
2012-10-01,1.9,-3.6,8313000.0,97.3,96.4,93.0,99.6,7.4,,2.4,49.8,,5053.71,106.06,18933.8,32874.2558,936404.2792,2559.0,85729593.05,3935.9,101.7,101.7944,101.516,35608.9951,175571102.0,143524416.0,10443.63,204.3479,-2731.4959,2390.0,,
2012-11-01,1.7,-2.8,8286000.0,97.99,99.68,95.07,99.45,,,2.4,50.2,,5220.37,105.1,18476.7,32976.7139,944832.4,3531.0,92527480.99,4216.2,102.0,102.0743,101.9255,33694.1782,179380767.0,159747492.0,7871.3,165.9403,4574.4676,-2070.0,,
2012-12-01,2.0,-2.2,11694000.0,98.4,101.9,96.8,98.0,,,0.0,50.6,,4546.08,103.7,20334.2136,33115.8923,974148.8,3661.0,99578863.13,4966.9,102.5,102.514,102.548,38598.8938,199229682.0,167611245.0,8306.7,236.19651323,15370.34706127,950.0,,
2013-01-01,2.5,-1.9,9270000.0,98.9,103.0,97.8,98.3,7.9,,6.0,50.6,,10721.0,104.5,,34100.61,992129.25,3793.0,13772043.9,4764.6,102.0,101.9791,102.1834,,187288000.0,159198000.0,13655.86,,,-3000.0,,
2013-02-01,2.0,-1.6,8214000.0,98.9,105.1,98.1,98.1,,,28.8,50.4,,6200.0,108.2,,33954.18,998600.83,2942.0,24022498.36,2079.2,103.2,103.1935,103.2976,0,139304000.0,124422000.0,8770.28,182.8178,8188.2151,-2530.0,,
2013-03-01,3.2,-1.6,12420700.0,98.3,101.56,97.95,97.33,,,-15.2,50.1,,10625.0,102.6,17641.2,34426.49,1035858.37,3590.0,35671976.5,6394.2,102.1,102.0283,102.1948,32416.3577,182102000.0,183008000.0,9607.75,240.5383,43681.969,-1530.0,,
