Date,Resident,Non-Financial Enterprise,Government,Central Gov,State Gov,Real Econ,Finance (Asset),Finance (Liabiity)
2018-12-01,52.1,151.00000000000003,16.200000000000003,20.0,36.2,239.3,59.4,59.7
2019-03-01,53.2,154.5,15.899999999999999,21.0,36.9,244.6,59.3,58.2
2019-06-01,54.3,153.59999999999997,16.199999999999996,21.6,37.8,245.7,57.6,57.6
2019-09-01,55.3,153.0,16.4,22.1,38.5,246.8,54.8,58.3
2019-12-01,56.1,151.9,16.9,21.6,38.5,246.5,55.1,60.2
2020-03-01,58.0,161.79999999999998,17.200000000000003,23.4,40.6,260.4,57.9,61.2
2020-06-01,59.9,165.20000000000002,17.9,24.6,42.5,267.6,57.4,60.9
2020-09-01,61.7,164.59999999999997,19.2,25.7,44.9,271.2,55.8,62.4
2020-12-01,62.2,162.3,20.3,25.3,45.6,270.1,54.2,62.7
2021-03-01,62.1,161.4,19.6,24.7,44.3,267.8,52.8,62.3
2021-06-01,62.0,158.8,19.4,25.2,44.6,265.4,51.3,61.7
2021-09-01,62.1,157.2,19.7,25.8,45.5,264.8,49.2,61.9
2021-12-01,62.2,154.8,20.2,26.6,46.8,263.8,48.9,62.7
2022-03-01,62.1,158.9,19.7,27.5,47.2,268.2,49.4,62.9
